CropName,SeededArea,Sales,Expenses,Profit
Melon,0.54,81000,54000,27000
Rice,0.74,111000,74000,37000
Watermelon,0.84,126000,84000,42000
Sugarcane,0.5,75000,50000,25000
Melon,0.56,84000,56000,28000
Rice,0.76,114000,76000,38000
Watermelon,0.86,129000,86000,43000
Sugarcane,0.52,78000,52000,26000
Melon,0.58,87000,58000,29000
Rice,0.78,117000,78000,39000
Watermelon,0.88,132000,88000,44000
Sugarcane,0.54,81000,54000,27000
Melon,0.6,90000,60000,30000
Rice,0.8,120000,80000,40000
Watermelon,0.9,135000,90000,45000
Sugarcane,0.55,82500,55000,27500
Melon,0.61,91500,61000,30500
Rice,0.81,121500,81000,40500
Watermelon,0.91,136500,91000,45500
Sugarcane,0.57,85500,57000,28500
Melon,0.63,94500,63000,31500
Rice,0.83,124500,83000,41500
Watermelon,0.93,139500,93000,46500
Sugarcane,0.59,88500,59000,29500
Melon,0.65,97500,65000,32500
Rice,0.85,127500,85000,42500
Watermelon,0.95,142500,95000,47500
Sugarcane,1.05,157500,105000,52500
Melon,1.1,165000,110000,55000
Rice,1.2,180000,120000,60000
Watermelon,1.3,195000,130000,65000
Sugarcane,1.15,172500,115000,57500
Melon,1.25,187500,125000,62500
Rice,1.35,202500,135000,67500
Watermelon,1.45,217500,145000,72500
Sugarcane,1.5,225000,150000,75000
Melon,1.55,232500,155000,77500
Rice,1.6,240000,160000,80000
Watermelon,1.65,247500,165000,82500
Sugarcane,1.7,255000,170000,85000
Melon,1.75,262500,175000,87500
Rice,1.8,270000,180000,90000
Watermelon,1.85,277500,185000,92500
Sugarcane,1.9,285000,190000,95000
Melon,1.95,292500,195000,97500
Rice,2,300000,200000,100000
Watermelon,2.05,307500,205000,102500
Sugarcane,2.1,315000,210000,105000
Melon,2.15,322500,215000,107500
Rice,2.2,330000,220000,110000
Watermelon,2.25,337500,225000,112500
Sugarcane,2.3,345000,230000,115000
Melon,2.35,352500,235000,117500
Rice,2.4,360000,240000,120000
Watermelon,2.45,367500,245000,122500
Sugarcane,2.5,375000,250000,125000
Melon,2.55,382500,255000,127500
Rice,2.6,390000,260000,130000
Watermelon,2.65,397500,265000,132500
Sugarcane,2.7,405000,270000,135000
Melon,2.75,412500,275000,137500
Rice,2.8,420000,280000,140000
Watermelon,2.85,427500,285000,142500
Sugarcane,2.9,435000,290000,145000
Melon,2.95,442500,295000,147500
Rice,3,450000,300000,150000
Watermelon,3.05,457500,305000,152500
Sugarcane,3.1,465000,310000,155000
Melon,3.15,472500,315000,157500
Rice,3.2,480000,320000,160000
Watermelon,3.25,487500,325000,162500
Sugarcane,3.3,495000,330000,165000
Melon,3.35,502500,335000,167500
Rice,3.4,510000,340000,170000
Watermelon,3.45,517500,345000,172500
Sugarcane,3.5,525000,350000,175000
Melon,3.55,532500,355000,177500
Rice,3.6,540000,360000,180000
Watermelon,3.65,547500,365000,182500
Sugarcane,3.7,555000,370000,185000
Melon,3.75,562500,375000,187500
Rice,3.8,570000,380000,190000
Watermelon,3.85,577500,385000,192500
Sugarcane,3.9,585000,390000,195000
Melon,3.95,592500,395000,197500
Rice,4,600000,400000,200000
Watermelon,4.05,607500,405000,202500
Sugarcane,4.1,615000,410000,205000
Melon,4.15,622500,415000,207500
Rice,4.2,630000,420000,210000
Watermelon,4.25,637500,425000,212500
Sugarcane,4.3,645000,430000,215000
Melon,4.35,652500,435000,217500
Rice,4.4,660000,440000,220000
Watermelon,4.45,667500,445000,222500
Sugarcane,4.5,675000,450000,225000
Melon,4.55,682500,455000,227500
Rice,4.6,690000,460000,230000
Watermelon,4.65,697500,465000,232500
Sugarcane,4.7,705000,470000,235000
Melon,4.75,712500,475000,237500
Rice,4.8,720000,480000,240000
Watermelon,4.85,727500,485000,242500
Sugarcane,4.9,735000,490000,245000
Melon,4.95,742500,495000,247500
Rice,5,750000,500000,250000
Watermelon,5.05,757500,505000,252500
Sugarcane,5.1,765000,510000,255000
Melon,5.15,772500,515000,257500
Rice,5.2,780000,520000,260000
Watermelon,5.25,787500,525000,262500
Sugarcane,5.3,795000,530000,265000
Melon,5.35,802500,535000,267500
Rice,5.4,810000,540000,270000
Watermelon,5.45,817500,545000,272500
Sugarcane,5.5,825000,550000,275000
Melon,5.55,832500,555000,277500
Rice,5.6,840000,560000,280000
Watermelon,5.65,847500,565000,282500
Sugarcane,5.7,855000,570000,285000
Melon,5.75,862500,575000,287500
Rice,5.8,870000,580000,290000
Watermelon,5.85,877500,585000,292500
Sugarcane,5.9,885000,590000,295000
Melon,5.95,892500,595000,297500
Rice,6,900000,600000,300000
Watermelon,6.05,907500,605000,302500
Sugarcane,6.1,915000,610000,305000
Melon,6.15,922500,615000,307500
Rice,6.2,930000,620000,310000
Watermelon,6.25,937500,625000,312500
Sugarcane,6.3,945000,630000,315000
Melon,6.35,952500,635000,317500
Rice,6.4,960000,640000,320000
Watermelon,6.45,967500,645000,322500
Sugarcane,7.5,1125000,750000,375000
Melon,7.55,1132500,755000,377500
Rice,7.6,1140000,760000,380000
Watermelon,7.65,1147500,765000,382500
Sugarcane,7.7,1155000,770000,385000
Melon,7.75,1162500,775000,387500
Rice,7.8,1170000,780000,390000
Watermelon,7.85,1177500,785000,392500
Sugarcane,7.9,1185000,790000,395000
Melon,7.95,1192500,795000,397500
Rice,8,1200000,800000,400000
Watermelon,8.05,1207500,805000,402500
Sugarcane,8.1,1215000,810000,405000
Melon,8.15,1222500,815000,407500
Rice,8.2,1230000,820000,410000
Watermelon,8.25,1237500,825000,412500
Sugarcane,8.3,1245000,830000,415000
Melon,8.35,1252500,835000,417500
Rice,8.4,1260000,840000,420000
Watermelon,8.45,1267500,845000,422500
Sugarcane,9.5,1425000,950000,475000
Melon,9.55,1432500,955000,477500
Rice,9.6,1440000,960000,480000
Watermelon,9.65,1447500,965000,482500
Sugarcane,9.7,1455000,970000,485000
Melon,9.75,1462500,975000,487500
Rice,9.8,1470000,980000,490000
Watermelon,9.85,1477500,985000,492500
Sugarcane,9.9,1485000,990000,495000
Melon,9.95,1492500,995000,497500
Rice,10,1500000,1000000,500000
Watermelon,10.05,1507500,1005000,502500
Sugarcane,10.1,1515000,1010000,505000
Melon,10.15,1522500,1015000,507500
Rice,10.2,1530000,1020000,510000
Watermelon,10.25,1537500,1025000,512500
Sugarcane,10.3,1545000,1030000,515000
Melon,10.35,1552500,1035000,517500
Rice,10.4,1560000,1040000,520000
Watermelon,10.45,1567500,1045000,522500
Sugarcane,11.5,1725000,1150000,575000
Melon,11.55,1732500,1155000,577500
Rice,11.6,1740000,1160000,580000
Watermelon,11.65,1747500,1165000,582500
Sugarcane,11.7,1755000,1170000,585000
Melon,11.75,1762500,1175000,587500
Rice,11.8,1770000,1180000,590000
Watermelon,11.85,1777500,1185000,592500
Sugarcane,11.9,1785000,1190000,595000
Melon,11.95,1792500,1195000,597500
Rice,12,1800000,1200000,600000
Watermelon,12.05,1807500,1205000,602500
Sugarcane,12.1,1815000,1210000,605000
Melon,12.15,1822500,1215000,607500
Rice,12.2,1830000,1220000,610000
Watermelon,12.25,1837500,1225000,612500
Sugarcane,12.3,1845000,1230000,615000
Melon,12.35,1852500,1235000,617500
Rice,12.4,1860000,1240000,620000
Watermelon,12.45,1867500,1245000,622500
Sugarcane,13.5,2025000,1350000,675000
Melon,13.55,2032500,1355000,677500
Rice,13.6,2040000,1360000,680000
Watermelon,13.65,2047500,1365000,682500
Sugarcane,13.7,2055000,1370000,685000
Melon,13.75,2062500,1375000,687500
Rice,13.8,2070000,1380000,690000
Watermelon,13.85,2077500,1385000,692500
Sugarcane,13.9,2085000,1390000,695000
Melon,13.95,2092500,1395000,697500
Rice,14,2100000,1400000,700000
Watermelon,14.05,2107500,1405000,702500
Sugarcane,14.1,2115000,1410000,705000
Melon,14.15,2122500,1415000,707500
Rice,14.2,2130000,1420000,710000
Watermelon,14.25,2137500,1425000,712500
Sugarcane,14.3,2145000,1430000,715000
Melon,14.35,2152500,1435000,717500
Rice,14.4,2160000,1440000,720000
Watermelon,14.45,2167500,1445000,722500
Sugarcane,13.5,2025000,1350000,675000
Melon,13.55,2032500,1355000,677500
Rice,13.6,2040000,1360000,680000
Watermelon,13.65,2047500,1365000,682500
Sugarcane,13.7,2055000,1370000,685000
Melon,13.75,2062500,1375000,687500
Rice,13.8,2070000,1380000,690000
Watermelon,13.85,2077500,1385000,692500
Sugarcane,13.9,2085000,1390000,695000
Melon,13.95,2092500,1395000,697500
Rice,14,2100000,1400000,700000
Watermelon,14.05,2107500,1405000,702500
Sugarcane,14.1,2115000,1410000,705000
Melon,14.15,2122500,1415000,707500
Rice,14.2,2130000,1420000,710000
Watermelon,14.25,2137500,1425000,712500
Sugarcane,14.3,2145000,1430000,715000
Melon,14.35,2152500,1435000,717500
Rice,14.4,2160000,1440000,720000
Watermelon,14.45,2167500,1445000,722500
Sugarcane,13.25,1987500,1325000,662500
Melon,11.8,1770000,1180000,590000
Rice,14.5,2175000,1450000,725000
Watermelon,12.75,1912500,1275000,637500
Sugarcane,10.9,1635000,1090000,545000
Melon,9.75,1462500,975000,487500
Rice,8.3,1245000,830000,415000
Watermelon,7.65,1147500,765000,382500
Sugarcane,6.8,1020000,680000,340000
Melon,5.55,832500,555000,277500
Rice,4.25,1275000,850000,425000
Watermelon,3.95,592500,395000,197500
Sugarcane,2.7,1215000,810000,405000
Melon,1.85,277500,185000,92500
Rice,1.6,240000,160000,80000
Watermelon,0.95,142500,95000,47500
Sugarcane,3.4,510000,340000,170000
Melon,4.75,712500,475000,237500
Rice,6.2,930000,620000,310000
Watermelon,7.85,1177500,785000,392500
Sugarcane,9.85,1477500,985000,492500
Melon,8.7,1305000,870000,435000
Rice,11.25,1687500,1125000,562500
Watermelon,10.45,1567500,1045000,522500
Sugarcane,7.9,1185000,790000,395000
Melon,6.35,952500,635000,317500
Rice,5.1,1275000,850000,425000
Watermelon,4.75,712500,475000,237500
Sugarcane,3.8,1140000,760000,380000
Melon,2.25,168750,112500,56250
Rice,1.5,900000,600000,300000
Watermelon,1.15,862500,575000,287500
Sugarcane,4.3,645000,430000,215000
Melon,5.75,862500,575000,287500
Rice,7.2,1080000,720000,360000
Watermelon,8.65,1297500,865000,432500
Sugarcane,11.1,1665000,1110000,555000
Melon,12.55,1882500,1255000,628500
Rice,14,2100000,1400000,700000
Watermelon,15.45,2317500,1545000,772500
Sugarcane,14.75,2212500,1475000,737500
Melon,13.8,2070000,1380000,690000
Rice,16.25,2437500,1625000,812500
Watermelon,15.45,2317500,1545000,772500
Sugarcane,12.9,1935000,1290000,645000
Melon,11.35,1702500,1135000,568500
Rice,10,1500000,1000000,500000
Watermelon,9.65,1447500,965000,482500
Sugarcane,8.7,1305000,870000,435000
Melon,7.15,1072500,715000,357500
Rice,5.8,870000,580000,290000
Watermelon,5.45,817500,545000,272500
Sugarcane,4.5,675000,450000,225000
Melon,3.95,592500,395000,197500
Rice,2.6,390000,260000,130000
Watermelon,2.25,337500,225000,112500
Sugarcane,1.7,255000,170000,85000
Melon,1.15,86250,57500,28750
Rice,0.8,120000,80000,40000
Watermelon,0.45,67500,45000,22500
Sugarcane,15.25,2287500,1525000,762500
Melon,14.8,2220000,1480000,740000
Rice,17.35,2602500,1735000,868500
Watermelon,16.55,2482500,1655000,827500
Sugarcane,13.9,2085000,1390000,695000
Melon,12.35,1852500,1235000,617500
Rice,10.9,1635000,1090000,545000
Watermelon,10.55,1582500,1055000,527500
Sugarcane,9.3,1395000,930000,465000
Melon,7.75,1162500,775000,387500
